record_type_id,name,module_name_space,description,business_process_id,s_object_type,is_active,created_by_id,created_date,last_modified_by_id,last_modified_date,system_modstamp,is_deleted
012Hp000001FRUHIA4,Internal Zone: Question Record Type,,Record type used to associate Question with a specific zone,,Question,1,005Hp00000hjWWrIAM,2023-10-28 20:45:25,005Hp00000hjWWrIAM,2023-10-28 20:45:25,2023-10-28 20:45:25,0
012Hp000001FRUIIA4,Internal Zone: Reply Record Type,,Record type used to associate Reply with a specific zone,,Reply,1,005Hp00000hjWWrIAM,2023-10-28 20:45:25,005Hp00000hjWWrIAM,2023-10-28 20:45:25,2023-10-28 20:45:25,0
012Hp000001FRUJIA4,Progress,,Measure achievement based on how much is finished compared to a targeted value. Ideal for tracking hard numbers and percentages. For example: Convert 50 Leads or Achieve 100% Customer Satisfaction.,,Metric,1,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,2023-10-28 20:45:25,0
012Hp000001FRUKIA4,Completion,,"Measure achievement based on whether or not the metric is finished. Ideal for tracking milestones, or when you don't have metrics based on hard numbers. For example: Become Salesforce Certified.",,Metric,1,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,2023-10-28 20:45:25,0
012Hp000001FRULIA4,Internal Ideas: Idea Record Type,,Record Type used to associate ideas with a specific community,,Idea,1,005Hp00000hnUYPIA2,2023-10-28 20:45:25,005Hp00000hnUYPIA2,2023-10-28 20:45:25,2023-10-28 20:45:25,0
